region_key,region,feature,descriptor,sign,width,lambda,internal_score,internal_mean_specificity_gain,internal_min_specificity_gain,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_max_sensitivity_loss,internal_min_deesc_n,external_mean_specificity_gain,external_min_specificity_gain,external_mean_accuracy_gain,external_min_accuracy_gain,external_max_sensitivity_loss,external_min_deesc_n
R4_117_128,R4,R4_117_128__endpoint_delta,endpoint_delta,-1,0.5,0.4,0.034746563971564004,0.04439819632327437,0.036420395421436005,0.03333333333333329,0.02752293577981646,0.06201550387596899,40,0.09639065817409768,0.09044585987261146,0.0752339812814975,0.06695464362850978,0.06382978723404255,80
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,-1,0.5,0.4,0.03468606238567633,0.04960110995490808,0.043704474505723206,0.037308868501529036,0.028440366972477094,0.08527131782945736,53,0.009341825902335456,0.0025477707006369425,0.007559395248380156,0.001079913606911509,0.0070921985815602835,3
R4_117_128,R4,R4_117_128__slope_mean,slope_mean,-1,0.35,0.4,0.03462627901722393,0.0419701699618453,0.03537981269510926,0.03180428134556571,0.026605504587155937,0.05426356589147287,39,0.08577494692144373,0.07898089171974522,0.06731461483081354,0.05831533477321815,0.05673758865248227,70
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,1,0.35,0.25,0.03449139289853537,0.03364550815123136,0.030176899063475548,0.02721712538226299,0.025688073394495414,0.031007751937984496,30,0.0653927813163482,0.06369426751592357,0.0496760259179266,0.04751619870410373,0.05673758865248227,54
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.5,0.25,0.03449070354300618,0.03919528269164065,0.03433922996878252,0.030581039755351647,0.02477064220183489,0.046511627906976744,39,0.020806794055201697,0.015286624203821656,0.01763858891288698,0.01295896328293733,0.0,12
R4_117_128,R4,R4_117_128__level_sd,level_sd,-1,0.7,0.4,0.03448524642258525,0.053416579951439475,0.044745057232049947,0.03883792048929665,0.028440366972477094,0.09302325581395349,55,0.009341825902335456,0.005095541401273885,0.006839452843772557,0.003239740820734416,0.0070921985815602835,5
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,-1,0.5,0.7,0.03445719820011228,0.0659035726673604,0.053069719042663895,0.045871559633027505,0.031192660550458662,0.13178294573643412,68,0.037367303609341825,0.035668789808917196,0.030597552195824346,0.02807775377969768,0.014184397163120567,28
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,-1,0.5,0.4,0.034402843090174724,0.05168227540756157,0.045785639958376693,0.03822629969418959,0.029357798165137616,0.09302325581395349,55,0.014861995753715497,0.007643312101910828,0.011519078473722097,0.005399568034557212,0.0070921985815602835,7
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,-1,0.35,0.55,0.03438025198812282,0.04960110995490808,0.043704474505723206,0.03700305810397553,0.028440366972477094,0.08527131782945736,53,0.010615711252653927,0.003821656050955414,0.008639308855291591,0.002159827213822907,0.0070921985815602835,4
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.35,0.55,0.03437229091232555,0.04231703087062088,0.03433922996878252,0.032721712538226276,0.023853211009174258,0.05426356589147287,40,0.08747346072186836,0.08280254777070063,0.06515478761699063,0.05831533477321815,0.07801418439716312,71
