feature,model,cohort,variable,vif,is_added
HTN,clinic4_lama_slope,internal,height,2.7885264152339797,False
HTN,clinic4_lama_slope,internal,weight,2.170348872841897,False
HTN,clinic4_lama_slope,internal,LAMA_slope,1.4266138149077123,True
HTN,clinic4_lama_slope,external,sex_M,2.5448400282696584,False
HTN,clinic4_lama_slope,external,age,1.2360125160823048,False
HTN,clinic4_lama_slope,external,height,2.9776734185443408,False
HTN,clinic4_lama_slope,external,weight,1.9651500126331223,False
HTN,clinic4_lama_slope,external,LAMA_slope,1.2072022963000208,True
HTN,clinic4_tama_slope,internal,sex_M,2.3835191256336774,False
HTN,clinic4_tama_slope,internal,age,1.2335587702179833,False
HTN,clinic4_tama_slope,internal,height,2.8034435971445473,False
HTN,clinic4_tama_slope,internal,weight,2.23093367416658,False
HTN,clinic4_tama_slope,internal,TAMA_slope,1.6777959744896302,True
HTN,clinic4_tama_slope,external,sex_M,2.443157817140117,False
HTN,clinic4_tama_slope,external,age,1.1685635029600558,False
HTN,clinic4_tama_slope,external,height,2.978718777707755,False
HTN,clinic4_tama_slope,external,weight,1.8672931173046696,False
HTN,clinic4_tama_slope,external,TAMA_slope,1.2520461060110755,True
DM,clinic4,internal,sex_M,2.368996622696001,False
DM,clinic4,internal,age,1.233369703284533,False
DM,clinic4,internal,height,2.782636887563462,False
DM,clinic4,internal,weight,1.820784836533222,False
DM,clinic4,external,sex_M,2.409733139556282,False
DM,clinic4,external,age,1.1681260506956068,False
DM,clinic4,external,height,2.9752222781631232,False
DM,clinic4,external,weight,1.7584728156706373,False
DM,clinic4_bmi,internal,sex_M,2.395509302100764,False
DM,clinic4_bmi,internal,age,1.2381537697290235,False
DM,clinic4_bmi,internal,height,66.23695032299312,False
DM,clinic4_bmi,internal,weight,176.88091310209327,False
DM,clinic4_bmi,internal,BMI,104.3696164544395,True
DM,clinic4_bmi,external,sex_M,2.410116624320248,False
DM,clinic4_bmi,external,age,1.16970208254134,False
DM,clinic4_bmi,external,height,69.0753374633941,False
DM,clinic4_bmi,external,weight,164.27834533633956,False
DM,clinic4_bmi,external,BMI,95.95165526432922,True
DM,clinic4_smi,internal,sex_M,2.5550131823512037,False
DM,clinic4_smi,internal,age,1.2814550046535202,False
DM,clinic4_smi,internal,height,2.9196453213124336,False
DM,clinic4_smi,internal,weight,2.3278811111059183,False
DM,clinic4_smi,internal,SMI,1.6026763875264354,True
DM,clinic4_smi,external,sex_M,2.6179239277728352,False
DM,clinic4_smi,external,age,1.1870808507789665,False
DM,clinic4_smi,external,height,3.0641967546076665,False
DM,clinic4_smi,external,weight,1.9372557467192024,False
DM,clinic4_smi,external,SMI,1.317747135255705,True
DM,clinic4_vat,internal,sex_M,2.3888232693100404,False
DM,clinic4_vat,internal,age,1.3902462133604638,False
DM,clinic4_vat,internal,height,2.8211798456162205,False
DM,clinic4_vat,internal,weight,2.5871275483548435,False
DM,clinic4_vat,internal,VAT,1.9399613389109895,True
DM,clinic4_vat,external,sex_M,2.418636500245352,False
DM,clinic4_vat,external,age,1.2816415817584883,False
DM,clinic4_vat,external,height,3.0415508672752134,False
DM,clinic4_vat,external,weight,2.3252584000524834,False
DM,clinic4_vat,external,VAT,1.5747127888732773,True
DM,clinic4_sat,internal,sex_M,3.1380380072933773,False
DM,clinic4_sat,internal,age,1.2347090408938166,False
DM,clinic4_sat,internal,height,2.907246684053783,False
DM,clinic4_sat,internal,weight,3.0037612539180003,False
DM,clinic4_sat,internal,SAT,1.9183475250761917,True
DM,clinic4_sat,external,sex_M,3.255532726284489,False
DM,clinic4_sat,external,age,1.168147259390373,False
DM,clinic4_sat,external,height,3.0403659342922844,False
DM,clinic4_sat,external,weight,2.6528195741611795,False
DM,clinic4_sat,external,SAT,1.891603943584138,True
DM,clinic4_imata,internal,sex_M,2.4491401236860497,False
DM,clinic4_imata,internal,age,1.4233052342532437,False
DM,clinic4_imata,internal,height,2.7958372311385604,False
DM,clinic4_imata,internal,weight,2.2320895042076407,False
DM,clinic4_imata,internal,IMATA,1.4382016741581316,True
DM,clinic4_imata,external,sex_M,2.520505469685633,False
DM,clinic4_imata,external,age,1.3372061615807191,False
DM,clinic4_imata,external,height,2.9763550862166404,False
DM,clinic4_imata,external,weight,2.0310021078502,False
DM,clinic4_imata,external,IMATA,1.3256663153853268,True
DM,clinic4_nama,internal,sex_M,2.6240933663786206,False
DM,clinic4_nama,internal,age,1.4300993099896828,False
DM,clinic4_nama,internal,height,2.8266401075422354,False
DM,clinic4_nama,internal,weight,2.024422322127813,False
DM,clinic4_nama,internal,NAMA,2.1750166189127076,True
DM,clinic4_nama,external,sex_M,2.751541481544922,False
DM,clinic4_nama,external,age,1.2788040876381,False
DM,clinic4_nama,external,height,3.0201369632064536,False
DM,clinic4_nama,external,weight,1.7921902986524885,False
DM,clinic4_nama,external,NAMA,1.8570202734109267,True
DM,clinic4_lama,internal,sex_M,2.369420977132186,False
DM,clinic4_lama,internal,age,1.382565851744577,False
DM,clinic4_lama,internal,height,2.787084010853986,False
DM,clinic4_lama,internal,weight,2.288791953080557,False
