feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,clinic4_tama_uplow_ratio,internal,1259,386,0.30659253375694995,0.7974379774576819,0.015638201203470783,,,0.26414582978367035,0.8085581085581085,0.6484006568144499,0.6973787390122052,0.05260418813515183,0.03906328167673547,0.017091360532234517
HTN,clinic4_tama_uplow_ratio,external,1123,507,0.4514692787177204,0.7169337073183226,,0.6872198608315458,0.7470436553431258,0.26414582978367035,0.7830374753451677,0.5503246753246753,0.655387355298308,,,
HTN,clinic4_aec_slope,internal,1259,386,0.30659253375694995,0.8015356881760823,0.024506487151506086,,,0.26414582978367035,0.7955044955044955,0.6517963875205256,0.6957661417820781,0.045010067337988936,0.0410764552331003,0.021607322256868112
HTN,clinic4_aec_slope,external,1123,507,0.4514692787177204,0.7251626578549656,,0.6963046704774172,0.7564849505763902,0.26414582978367035,0.8106508875739645,0.47564935064935066,0.6268922528940338,,,
HTN,clinic4_vat_slope,internal,1259,386,0.30659253375694995,0.8069715976415484,0.01668483288707753,,,0.26414582978367035,0.7955377955377956,0.6747454844006568,0.7116644532979194,0.04837246785712872,0.03958966736299828,0.0188925824229107
HTN,clinic4_vat_slope,external,1123,507,0.4514692787177204,0.7326487614949153,,0.7046981175956378,0.7621743046435157,0.26414582978367035,0.7731755424063116,0.5827922077922078,0.6687444345503116,,,
HTN,clinic4_sat_slope,internal,1259,386,0.30659253375694995,0.7946167384886598,0.018362861100134215,,,0.26414582978367035,0.7877455877455878,0.6380689655172413,0.6838582179219629,0.04577057779020806,0.0390381380035877,0.023338537043476295
HTN,clinic4_sat_slope,external,1123,507,0.4514692787177204,0.720286124132278,,0.691119008442555,0.7504826498099922,0.26414582978367035,0.7751479289940828,0.547077922077922,0.6500445235975066,,,
HTN,clinic4_imata_slope,internal,1259,386,0.30659253375694995,0.7986218018434768,0.01719270811415251,,,0.26414582978367035,0.8033633033633034,0.6552577996715928,0.7005565041421615,0.05518168201525766,0.029601175002076437,0.01748126301513072
HTN,clinic4_imata_slope,external,1123,507,0.4514692787177204,0.7254252158098312,,0.6959065135005923,0.7560682352743974,0.26414582978367035,0.7810650887573964,0.577922077922078,0.6696349065004452,,,
HTN,clinic4_nama_slope,internal,1259,386,0.30659253375694995,0.8069359212216355,0.013424190325489279,,,0.26414582978367035,0.7852480852480853,0.66671921182266,0.7029406184784671,0.06032955186694176,0.03277946075876211,0.005722498027606163
HTN,clinic4_nama_slope,external,1123,507,0.4514692787177204,0.7142376853915315,,0.6844514380233949,0.743594441050607,0.26414582978367035,0.8106508875739645,0.5097402597402597,0.6455921638468388,,,
