feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
DM,clinic4_meanmAs_aec,internal,GE,329,48,0.745329181494662,0.7916666666666666,0.6192170818505338,0.6443768996960486
DM,clinic4_vatsat,external,GE,217,69,0.7215041128084606,0.7391304347826086,0.5675675675675675,0.6221198156682027
DM,clinic4_vatsat,external,Siemens,654,187,0.6551889979273782,0.7540106951871658,0.4689507494646681,0.5504587155963303
DM,clinic4_vatsat,external,Philips,228,73,0.7086168802474591,0.7397260273972602,0.535483870967742,0.6008771929824561
DM,clinic4_vatsat,external,Other,24,6,0.611111111111111,0.8333333333333334,0.2777777777777778,0.4166666666666667
DM,clinic4_vatsat,internal,Siemens,688,138,0.7344137022397893,0.8188405797101449,0.5490909090909091,0.6031976744186046
DM,clinic4_vatsat,internal,Philips,236,46,0.6699084668192219,0.7608695652173914,0.531578947368421,0.576271186440678
DM,clinic4_vatsat,internal,GE,329,48,0.7256079478054566,0.7291666666666666,0.6441281138790036,0.6565349544072948
DM,clinic4_vatsat_aec,external,GE,217,69,0.7283587935761849,0.7971014492753623,0.49324324324324326,0.5898617511520737
DM,clinic4_vatsat_aec,external,Siemens,654,187,0.666811712031513,0.7807486631016043,0.41113490364025695,0.5168195718654435
DM,clinic4_vatsat_aec,external,Philips,228,73,0.720106053910738,0.8493150684931506,0.4645161290322581,0.5877192982456141
DM,clinic4_vatsat_aec,external,Other,24,6,0.6296296296296298,0.8333333333333334,0.1111111111111111,0.2916666666666667
DM,clinic4_vatsat_aec,internal,Siemens,688,138,0.744189723320158,0.8115942028985508,0.5509090909090909,0.6031976744186046
DM,clinic4_vatsat_aec,internal,Philips,236,46,0.6988558352402745,0.6739130434782609,0.631578947368421,0.6398305084745762
DM,clinic4_vatsat_aec,internal,GE,329,48,0.7317615658362989,0.7708333333333334,0.6619217081850534,0.6778115501519757
HTN,clinic4,external,GE,217,109,0.727871219843697,0.6605504587155964,0.6944444444444444,0.6774193548387096
HTN,clinic4,external,Siemens,654,290,0.7172697991663509,0.7965517241379311,0.521978021978022,0.6437308868501529
HTN,clinic4,external,Philips,228,94,0.7273737694506194,0.8404255319148937,0.5373134328358209,0.6622807017543859
HTN,clinic4,external,Other,24,14,0.75,1.0,0.5,0.7916666666666666
