feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
DL,clinic4_tama_slope,curve_slope,3130,0.5475047526061846,0.5482512217297419,0.0007464691235573584,0.18652972243844973,0.8520293727129694,0.9795786800053301
Osteoporosis,clinic4_bmi,scalar,3130,0.7698506950839245,0.7702825425655551,0.0004318474816306095,0.747572397403087,0.45471811915813054,0.7795167756996523
Osteoporosis,clinic4_smi,scalar,3130,0.7698506950839245,0.7724587151690662,0.0026080200851417157,0.6347568442713416,0.5255870134325089,0.7940557852863649
Osteoporosis,clinic4_vat,scalar,3130,0.7698506950839245,0.7694400165964914,-0.00041067848743303603,-0.5460286802720689,0.5850462227500458,0.8509763240000667
Osteoporosis,clinic4_sat,scalar,3130,0.7698506950839245,0.7676724055809936,-0.0021782895029308635,-1.605077431976509,0.10847676517764722,0.3786825257110594
Osteoporosis,clinic4_imata,scalar,3130,0.7698506950839245,0.7691605858730834,-0.0006901092108410056,-0.8971737894258646,0.3696261890163256,0.6890119251566459
Osteoporosis,clinic4_nama,scalar,3130,0.7698506950839245,0.7742728979717987,0.004422202887874205,0.9057904200273827,0.3650467926026969,0.6871469037227237
Osteoporosis,clinic4_lama,scalar,3130,0.7698506950839245,0.7693172364301455,-0.0005334586537789621,-1.225018851218046,0.220568117897063,0.5360642865346341
Osteoporosis,clinic4_tama,scalar,3130,0.7698506950839245,0.7726619375133629,0.002811242429438421,0.7235844970460308,0.4693208618932653,0.7904351358202362
Osteoporosis,clinic4_vat_sat_ratio,inter_var_ratio,3130,0.7698506950839245,0.7681889290394146,-0.0016617660445098492,-1.51107515064192,0.13076930502159897,0.41160174695322954
Osteoporosis,clinic4_lama_tama_ratio,inter_var_ratio,3130,0.7698506950839245,0.7718808016274723,0.0020301065435478494,0.6226626516613222,0.5335062307392764,0.7940557852863649
Osteoporosis,clinic4_imata_tama_ratio,inter_var_ratio,3130,0.7698506950839245,0.7694230814011334,-0.0004276136827910948,-0.3543579538475853,0.7230706407606193,0.9380375880137763
Osteoporosis,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7663260575500276,-0.0035246375338968683,-0.6985717476260753,0.48481970501231264,0.7940557852863649
Osteoporosis,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.7662985378575707,-0.0035521572263537138,-1.7770205221062854,0.07556486336850517,0.3206807822155211
Osteoporosis,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7707122731477659,0.0008615780638414616,0.2621949640712908,0.7931711357115369,0.9518053628538443
Osteoporosis,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.7697617853082946,-8.890977562980851e-05,-0.13899513527974985,0.8894539932179142,0.9844766692601569
Osteoporosis,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7696559403373068,-0.00019475474661767578,-0.05753234121854474,0.9541211441981488,0.9903912419974396
Osteoporosis,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.7697871881013317,-6.350698259272036e-05,-0.09790884726914709,0.9220046746393977,0.9844766692601569
Osteoporosis,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.769645355840208,-0.0002053392437164625,-0.05732886405497377,0.954283227966283,0.9903912419974396
Osteoporosis,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.766899737292782,-0.0029509577911424056,-2.8100485178395513,0.004953403212579559,0.08362902340780592
Osteoporosis,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7727021586023384,0.0028514635184139214,0.6888167779045301,0.4909385759699221,0.7940557852863649
Osteoporosis,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.767240558099363,-0.002610136984561473,-1.4091846977610718,0.15878056131344387,0.45671576162961075
Osteoporosis,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7694357827976519,-0.0004149122862725507,-0.12236153153577568,0.9026127029152016,0.9844766692601569
Osteoporosis,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.7688409340607,-0.0010097610232244758,-0.2871727266216143,0.7739800681962136,0.9518053628538443
Osteoporosis,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,0.7698506950839245,0.7691859886661205,-0.0006647064178039175,-0.20380029372581482,0.8385095632986944,0.975720219111208
Osteoporosis,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,0.7698506950839245,0.769111897186429,-0.0007387978974954246,-0.33304145591380996,0.7391029903628187,0.9460518276644079
Osteoporosis,clinic4_aec_slope,curve_slope,3130,0.7698506950839245,0.7672828960877581,-0.002567798996166326,-1.556848866825848,0.11950637198462567,0.39703259214762937
Osteoporosis,clinic4_vat_slope,curve_slope,3130,0.7698506950839245,0.7722427914282509,0.0023920963443264665,0.6638589465894809,0.5067805938070298,0.7940557852863649
Osteoporosis,clinic4_sat_slope,curve_slope,3130,0.7698506950839245,0.7702507890742587,0.0004000939903342493,0.37045572678609345,0.7110429585407283,0.9380375880137763
Osteoporosis,clinic4_imata_slope,curve_slope,3130,0.7698506950839245,0.7724375461748686,0.0025868510909441422,0.8177136327774348,0.4135207241897261,0.7217816276766128
Osteoporosis,clinic4_nama_slope,curve_slope,3130,0.7698506950839245,0.7709049109949639,0.001054215911039491,0.35865999816392063,0.7198494568008085,0.9380375880137763
Osteoporosis,clinic4_lama_slope,curve_slope,3130,0.7698506950839245,0.7704307255249382,0.0005800304410137347,0.17864440104182389,0.858216928262175,0.9804631936714132
Osteoporosis,clinic4_tama_slope,curve_slope,3130,0.7698506950839245,0.7677189773682283,-0.002131717715696202,-1.3544894444341056,0.1755802787490367,0.48159162171164355
MI,clinic4_bmi,scalar,3130,0.742983302035223,0.7420020639834881,-0.0009812380517348895,-1.010974578329892,0.312028597225088,0.6407117220687569
MI,clinic4_smi,scalar,3130,0.742983302035223,0.730108782080563,-0.012874519954660046,-0.6397501324436945,0.52233505740059,0.7940557852863649
MI,clinic4_vat,scalar,3130,0.742983302035223,0.7436769358304149,0.0006936337951919391,0.07412454159066291,0.9409112876091449,0.9903912419974396
MI,clinic4_sat,scalar,3130,0.742983302035223,0.7335600331590789,-0.009423268876144086,-1.6893784873485906,0.09114692092101753,0.3396299354006598
MI,clinic4_imata,scalar,3130,0.742983302035223,0.7486677155763082,0.005684413541085176,0.5008742359781619,0.6164596356998668,0.863943431053828
MI,clinic4_nama,scalar,3130,0.742983302035223,0.7269451352585901,-0.016038166776632945,-1.1148594913602543,0.26491063804893056,0.6122996576567027
MI,clinic4_lama,scalar,3130,0.742983302035223,0.7567544705543995,0.01377116851917648,0.8679466707369627,0.38542352786366096,0.6981256353756877
