rank,original_feature_index,feature
305,2377,smooth_norm__norm_haar_b16_095_126
306,1787,smooth_norm__norm_curv_100_111_max
307,9688,smooth_visual__visual_mid_flatness__early_041_056__mid_061_076__tail_113_124
308,2843,smooth_norm__ratio_tail_114_128_over_trough_060_095
309,11268,smooth_visual__visual_norm_slope_088_105_max
310,11850,smooth_visual__visual_norm_abs_slope_091_100_sd
311,12594,smooth_visual__visual_norm_curv_103_108_sd
312,1564,smooth_norm__norm_curv_055_062_mean
313,1783,smooth_norm__norm_curv_097_108_max
314,1029,smooth_norm__log_slope_103_110_sd
315,2326,smooth_norm__norm_haar_b12_099_122
316,577,smooth_norm__norm_slope_103_110_sd
317,2871,smooth_norm__ratio_tail_114_128_over_late_091_113
318,12449,smooth_visual__visual_norm_abs_slope_091_122_mean
319,1943,smooth_norm__norm_curv_100_115_max
320,1634,smooth_norm__norm_curv_106_113_min
321,2325,smooth_norm__norm_haar_b12_097_120
322,12763,smooth_visual__visual_norm_curv_106_115_min
323,10070,smooth_visual__visual_mid_flatness__early_045_060__mid_057_080__tail_109_120
324,656,smooth_norm__norm_slope_103_114_mean
325,11712,smooth_visual__visual_norm_abs_slope_109_114_max
326,12915,smooth_visual__visual_norm_curv_103_116_min
327,11550,smooth_visual__visual_norm_slope_085_116_sd
328,869,smooth_norm__norm_slope_085_116_sd
329,11408,smooth_visual__visual_norm_slope_082_105_max
330,11698,smooth_visual__visual_norm_abs_slope_100_105_sd
331,1631,smooth_norm__norm_curv_103_110_max
332,12028,smooth_visual__visual_norm_abs_slope_103_116_max
333,12760,smooth_visual__visual_norm_curv_103_112_max
334,10808,smooth_visual__visual_norm_slope_100_105_max
335,1101,smooth_norm__log_slope_091_102_sd
336,2869,smooth_norm__ratio_tail_120_128_over_recover_081_113
337,12319,smooth_visual__visual_norm_abs_slope_097_120_min
338,1103,smooth_norm__log_slope_094_105_sd
339,12747,smooth_visual__visual_norm_curv_094_103_min
340,9328,smooth_visual__visual_mid_flatness__early_037_060__mid_065_088__tail_113_124
341,9230,smooth_visual__visual_mid_flatness__early_037_060__mid_053_084__tail_109_120
342,11685,smooth_visual__visual_norm_abs_slope_091_096_mean
343,12768,smooth_visual__visual_norm_curv_109_118_max
344,937,smooth_norm__log_slope_091_094_sd
345,13042,smooth_visual__visual_norm_curv_085_102_sd
346,12431,smooth_visual__visual_norm_abs_slope_076_107_min
347,8944,smooth_visual__visual_mid_flatness__early_033_064__mid_069_084__tail_113_124
348,12903,smooth_visual__visual_norm_curv_094_107_min
349,1025,smooth_norm__log_slope_097_104_sd
350,10452,smooth_visual__visual_mid_flatness__early_049_064__mid_053_084__tail_105_116
351,12303,smooth_visual__visual_norm_abs_slope_085_108_min
352,12153,smooth_visual__visual_norm_abs_slope_085_102_mean
353,1031,smooth_norm__log_slope_106_113_sd
354,10520,smooth_visual__visual_mid_flatness__early_049_064__mid_061_092__tail_097_124
355,12895,smooth_visual__visual_norm_curv_088_101_min
356,1179,smooth_norm__log_slope_091_106_sd
357,2057,smooth_norm__norm_curv_076_099_sd
358,13178,smooth_visual__visual_norm_curv_076_099_sd
359,1633,smooth_norm__norm_curv_106_113_sd
360,1939,smooth_norm__norm_curv_097_112_max
361,12762,smooth_visual__visual_norm_curv_106_115_sd
362,12912,smooth_visual__visual_norm_curv_100_113_max
363,579,smooth_norm__norm_slope_106_113_sd
364,12152,smooth_visual__visual_norm_abs_slope_082_099_max
365,13068,smooth_visual__visual_norm_curv_103_120_max
366,12756,smooth_visual__visual_norm_curv_100_109_max
367,801,smooth_norm__norm_slope_088_111_sd
368,11414,smooth_visual__visual_norm_slope_088_111_sd
