curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
raw,"(128, 256, 128)","(7, 5, 3)",0.6,64,0.0,0.002,0.0001,128,0.6807532820736664,-0.03780890105093482
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.6,8,0.1,0.001,0.0001,128,0.7001183561091897,-0.018443827015411474
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.4,8,0.1,0.0005,0.001,64,0.7058095222106571,-0.012752660913944114
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.4,64,0.05,0.001,0.0001,32,0.7146946244501897,-0.0038675586744114643
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,16,0.1,0.002,0.0001,128,0.7149590370345499,-0.0036031460900513013
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.4,16,0.05,0.0005,0.0001,64,0.7213888795621664,0.002826696437565168
raw,"(16, 32, 16)","(11, 9, 7)",0.4,32,0.1,0.002,1e-05,128,0.6985948359802573,-0.019967347144343894
raw,"(16, 32, 16)","(5, 3, 3)",0.6,64,0.0,0.0005,1e-05,64,0.6972056206560789,-0.021356562468522244
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.6,8,0.1,0.001,1e-05,128,0.7071064029815667,-0.0114557801430345
raw,"(16, 32, 16)","(7, 5, 3)",0.6,8,0.02,0.0005,1e-05,32,0.6682041768794278,-0.05035800624517339
raw,"(128, 256, 128)","(7, 5, 3)",0.1,8,0.02,0.001,1e-05,32,0.717032367457946,-0.001529815666655221
raw,"(64, 128, 64)","(5, 3, 3)",0.6,64,0.02,0.0003,0.001,128,0.6978225833529195,-0.020739599771681716
raw,"(64, 128, 64)","(15, 11, 7)",0.2,8,0.1,0.001,1e-05,64,0.7065440016116578,-0.012018181512943427
raw,"(16, 32, 16)","(11, 9, 7)",0.2,32,0.02,0.0003,0.001,32,0.710883725615284,-0.007678457509317171
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,64,0.0,0.0003,0.001,32,0.7252711278245979,0.006708944699996722
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,8,0.02,0.0003,0.0001,128,0.6936675284558306,-0.02489465466877061
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.4,32,0.0,0.0005,0.001,64,0.6991572373501662,-0.019404945774434967
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,8,0.0,0.0005,0.0001,128,0.7035473256555753,-0.015014857469025866
raw,"(64, 128, 64)","(11, 9, 7)",0.1,16,0.1,0.0003,0.0001,128,0.673236410032569,-0.04532577309203223
raw,"(128, 256, 128)","(11, 9, 7)",0.4,16,0.1,0.002,0.0001,64,0.7098596514790316,-0.008702531645569556
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.6,8,0.1,0.001,0.001,64,0.7163020850820938,-0.0022600980425073747
raw,"(64, 128, 64)","(15, 11, 7)",0.4,16,0.02,0.002,0.001,32,0.6843459356008461,-0.03421624752375507
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,8,0.0,0.0005,0.0001,32,0.6725522949333513,-0.04600988819124985
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.2,32,0.0,0.0003,0.0001,32,0.7086676963368365,-0.009894486787764722
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.6,16,0.0,0.0003,1e-05,128,0.696139576268341,-0.022422606856260185
raw,"(32, 64, 32)","(7, 5, 3)",0.6,16,0.05,0.003,1e-05,128,0.7033668535741866,-0.015195329550414582
