feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
DM,clinic4_meanmAs,external,SOMATOM Force,123,33,0.7505050505050505,0.696969696969697,0.6555555555555556,0.6666666666666666
DM,clinic4_meanmAs,external,LightSpeed VCT,50,9,0.7398373983739837,0.5555555555555556,0.7317073170731707,0.7
DM,clinic4_meanmAs,external,SOMATOM Definition Flash,228,78,0.6461538461538462,0.5769230769230769,0.6133333333333333,0.6008771929824561
DM,clinic4_meanmAs,external,Sensation 64,48,17,0.6641366223908919,0.8823529411764706,0.3225806451612903,0.5208333333333334
DM,clinic4_meanmAs,internal,SOMATOM Definition AS+,180,44,0.6809826203208555,0.8181818181818182,0.4411764705882353,0.5333333333333333
DM,clinic4_meanmAs,internal,Ingenuity Core 128,202,38,0.6774711168164314,0.7368421052631579,0.5914634146341463,0.6188118811881188
DM,clinic4_meanmAs,internal,Revolution CT,317,51,0.740232935279375,0.6666666666666666,0.7180451127819549,0.7097791798107256
DM,clinic4_meanmAs,internal,Sensation 64,380,69,0.7510601612377092,0.7681159420289855,0.6237942122186495,0.65
DM,clinic4_meanmAs_aec,external,iCT 256,135,39,0.7200854700854701,0.8205128205128205,0.5104166666666666,0.6
DM,clinic4_meanmAs_aec,external,Revolution EVO,149,57,0.6845919145690312,0.7894736842105263,0.4782608695652174,0.5973154362416108
DM,clinic4_meanmAs_aec,external,SOMATOM Definition AS+,165,41,0.7092840283241543,0.7804878048780488,0.5645161290322581,0.6181818181818182
DM,clinic4_meanmAs_aec,external,SOMATOM Force,123,33,0.7538720538720539,0.9090909090909091,0.5,0.6097560975609756
DM,clinic4_meanmAs_aec,external,LightSpeed VCT,50,9,0.7235772357723578,0.7777777777777778,0.6097560975609756,0.64
DM,clinic4_meanmAs_aec,external,SOMATOM Definition Flash,228,78,0.6697435897435897,0.7692307692307693,0.5133333333333333,0.6008771929824561
DM,clinic4_meanmAs_aec,external,Sensation 64,48,17,0.6584440227703985,0.9411764705882353,0.2903225806451613,0.5208333333333334
DM,clinic4_meanmAs_aec,internal,SOMATOM Definition AS+,180,44,0.7113970588235294,0.9545454545454546,0.38235294117647056,0.5222222222222223
DM,clinic4_meanmAs_aec,internal,Ingenuity Core 128,202,38,0.7166238767650834,0.6578947368421053,0.6646341463414634,0.6633663366336634
DM,clinic4_meanmAs_aec,internal,Revolution CT,317,51,0.7467934542237948,0.7647058823529411,0.6466165413533834,0.6656151419558359
DM,clinic4_meanmAs_aec,internal,Sensation 64,380,69,0.7713779766065522,0.8115942028985508,0.6237942122186495,0.6578947368421053
DM,clinic4_vatsat,external,iCT 256,135,39,0.6781517094017094,0.6666666666666666,0.5729166666666666,0.6
DM,clinic4_vatsat,external,Revolution EVO,149,57,0.6704805491990846,0.7192982456140351,0.5543478260869565,0.6174496644295302
DM,clinic4_vatsat,external,SOMATOM Definition AS+,165,41,0.6512588512981904,0.7804878048780488,0.45161290322580644,0.5333333333333333
DM,clinic4_vatsat,external,SOMATOM Force,123,33,0.7602693602693603,0.8484848484848485,0.5555555555555556,0.6341463414634146
DM,clinic4_vatsat,external,LightSpeed VCT,50,9,0.7127371273712737,0.6666666666666666,0.6341463414634146,0.64
DM,clinic4_vatsat,external,SOMATOM Definition Flash,228,78,0.6486324786324786,0.7051282051282052,0.5066666666666667,0.5745614035087719
DM,clinic4_vatsat,external,Sensation 64,48,17,0.6337760910815939,0.8823529411764706,0.25806451612903225,0.4791666666666667
DM,clinic4_vatsat,internal,SOMATOM Definition AS+,180,44,0.7113970588235294,0.8863636363636364,0.4338235294117647,0.5444444444444444
DM,clinic4_vatsat,internal,Ingenuity Core 128,202,38,0.6906290115532734,0.6842105263157895,0.5975609756097561,0.6138613861386139
DM,clinic4_vatsat,internal,Revolution CT,317,51,0.7372106737431814,0.7647058823529411,0.650375939849624,0.668769716088328
DM,clinic4_vatsat,internal,Sensation 64,380,69,0.7403886481196701,0.7246376811594203,0.639871382636656,0.6552631578947369
DM,clinic4_vatsat_aec,external,iCT 256,135,39,0.7155448717948718,0.7948717948717948,0.53125,0.6074074074074074
