delta_auc,delta_sens,delta_spec,delta_ppv,delta_npv,delta_fp,delta_tp
0.009077927376580974,-0.013157894736842035,0.1188630490956073,0.06995733024284884,0.001876761887774303,-92,-2
0.007095483527637891,-0.015748031496062964,0.1376720901126408,0.0702959705218115,0.002100321225599222,-110,-2
0.010501728831015966,-0.02898550724637672,0.10913705583756339,0.05451936872309898,-0.0019913962455645473,-86,-4
0.0065110055781698595,-0.014925373134328401,0.0997474747474748,0.05493795897695619,0.0011757789535566943,-79,-2
0.0046991098359450145,-0.007246376811594235,0.13071065989847708,0.07467310040806602,0.003420805098573787,-103,-1
0.0003112172801291724,-0.03246753246753242,0.09585492227979275,0.04838179148311306,-0.0026954074256360094,-74,-5
0.008456243854473966,-0.014814814814814836,0.1238938053097346,0.06776788986966786,0.0014083166809401026,-98,-2
-0.0007479940160479703,-0.03947368421052633,0.10594315245478036,0.0504354233297204,-0.006799222229191493,-82,-6
0.012761032165193087,-0.023255813953488302,0.11668757841907151,0.05556832902462416,-0.0012183500404105985,-93,-3
0.006030886212233355,-0.012987012987012991,0.11398963730569944,0.07036372998492474,0.002462480449901827,-88,-2
0.008334301537508138,-0.029239766081871288,0.11523178807947021,0.05903750247904299,-0.005063233032660763,-87,-5
0.011623311296349526,-0.028169014084507005,0.11989795918367352,0.06000389004149376,-0.003714969582128247,-94,-4
0.012381275440976891,-0.02985074626865669,0.10984848484848486,0.05628769123341587,-0.0013702513702513741,-87,-4
0.005259922725676103,-0.020547945205479423,0.10256410256410253,0.05705074948220784,-0.001587559098915392,-80,-3
0.0011789054517826747,-0.03401360544217691,0.12451861360718874,0.06792387356933882,-0.0037806532999483666,-97,-5
0.00615037027739429,-0.01935483870967747,0.12970168612191957,0.07385419551370814,0.0015203434558273,-100,-3
-0.004187479187479193,-0.02564102564102555,0.0922077922077923,0.04050502205951373,0.0009733249460208704,-71,-4
0.0034188721744027317,-0.048387096774193505,0.12344139650872821,0.05469285224937198,-0.004235645259222931,-99,-6
0.002459973660888015,-0.006369426751592355,0.13003901170351106,0.0816204853342512,0.0061796281749149085,-100,-1
-0.0040694069668945065,-0.027210884353741416,0.1193838254172016,0.060483824295387456,0.0004075171235561337,-93,-4
0.0056748982923479074,-0.033557046979865834,0.11711711711711714,0.055565967016491746,0.0007215007215006786,-91,-5
0.00925256097669891,-0.04895104895104896,0.12260536398467425,0.06143457084637943,-0.006097062864356961,-96,-7
0.002581664910432102,-0.006849315068493067,0.10256410256410253,0.06835508463625789,0.0011437149290539628,-80,-1
0.009972648479681712,-0.02083333333333326,0.11764705882352933,0.06289131856835811,0.0005207240395750379,-92,-3
0.010769977004886466,-0.007042253521126751,0.09948979591836737,0.054485278417044314,0.0042194092827004814,-78,-1
0.008002048524422323,-0.03658536585365857,0.12467191601049865,0.061207842821321023,-0.005091902632886169,-95,-6
0.009120427036583667,-0.02631578947368418,0.1136950904392765,0.05894531725733776,-0.0035948608679141625,-88,-4
0.00696887237008037,-0.03007518796992481,0.13493064312736447,0.059944490992878074,-0.0016678846236513056,-107,-4
0.01650583321330834,-0.007633587786259555,0.12075471698113205,0.05856011208708303,0.00380509899918402,-96,-1
0.003298969072164981,-0.046666666666666634,0.12371134020618557,0.06013021830716203,-0.006863572433192688,-96,-7
0.006464904802500726,-0.00694444444444442,0.1048593350383632,0.05163110924061426,0.006025142668100281,-82,-1
0.01452771378235529,-0.007092198581560183,0.1452229299363057,0.07207792207792207,0.006135395242682251,-114,-1
0.007298765688027453,-0.0134228187919464,0.10553410553410558,0.05938397590080097,0.0019044964697138012,-82,-2
0.007415485278080669,-0.02857142857142858,0.11068702290076327,0.05617414869800874,-0.0019224693907429202,-87,-4
0.005858331425082075,-0.037878787878787845,0.12468513853904284,0.06419758018871063,-0.0019152020485255772,-99,-5
-0.00389847968172774,-0.02777777777777779,0.13299232736572886,0.06848735845231546,9.443873877057474e-05,-104,-4
0.006488095238095237,-0.04761904761904756,0.11750000000000005,0.05248135752098593,-0.00643258159672655,-94,-6
-0.0006687278538177743,-0.04729729729729726,0.11311053984575836,0.05415778740175525,-0.007406997954784167,-88,-7
0.016587301587301595,-0.007936507936507908,0.14750000000000008,0.07297897509150966,0.004037360896792075,-118,-1
0.0007066938037088022,0.007462686567164201,0.11489898989898994,0.06391745780590713,0.005518727753649255,-91,1
0.0012379002233804393,-0.014705882352941124,0.12911392405063293,0.07359373410639808,0.0026134057494926477,-102,-2
0.002010424422933643,-0.044117647058823484,0.11392405063291133,0.05370731104454418,-0.006282431215878348,-90,-6
0.0015288538778471805,-0.033557046979865834,0.09781209781209776,0.04790300139137349,-0.005010896776336593,-76,-5
0.01148204685737042,-0.03007518796992481,0.12358133669609073,0.05907757931218344,-0.0004238218715203468,-98,-4
0.002016760651629035,0.0,0.11654135338345861,0.06957755562721701,0.0040113871635610865,-93,0
0.0015461290629076307,-0.02684563758389269,0.12998712998713002,0.06805120910384072,-7.577086889243301e-05,-101,-4
0.012925886898489614,-0.03424657534246567,0.12564102564102564,0.06348876164617523,-0.0048997809509692125,-98,-5
0.003568137043519437,-0.0326797385620915,0.10996119016817596,0.057682555780933065,-0.0034114436288348315,-85,-5
0.015800320586214833,-0.037878787878787956,0.12720403022670024,0.059436090225563926,-0.00045803782505904334,-101,-5
0.01578123807342946,-0.007575757575757569,0.12468513853904284,0.05835901088521747,0.004189974392193707,-99,-1
0.007388812183590665,-0.03870967741935483,0.11543450064850846,0.05698242240842505,-0.005191890292028378,-89,-6
0.0066334023907482775,-0.046511627906976716,0.12797992471769126,0.057996841451948916,-0.003985813207228461,-102,-6
0.015321121664405246,-0.014925373134328401,0.13005050505050508,0.059290597504521925,0.0026915186477529662,-103,-2
0.018222844693432938,-0.02352941176470591,0.1613756613756614,0.08882554886835636,0.004073756432247055,-122,-4
0.010075500022076023,-0.006896551724137834,0.10371318822023046,0.056953700216680614,0.002165060265618912,-81,-1
0.00983291319242452,-0.030864197530864113,0.12041884816753923,0.06503481288076585,-0.003600657367721305,-92,-5
0.006182734142431867,-0.015151515151515138,0.1335012594458439,0.0664600770366938,0.0036595011273624634,-106,-2
-0.004067901968133225,-0.021582733812949617,0.10927573062261753,0.05852797069736465,-0.0009552850188382367,-86,-3
0.010150854234823647,-0.014285714285714235,0.12213740458015265,0.07175947517333581,0.0012144414865059572,-96,-2
0.008162695457930025,-0.03676470588235292,0.12278481012658227,0.07106164383561647,-0.004223395387607631,-97,-5
0.011144856493321975,-0.00694444444444442,0.11636828644501274,0.0686162216336173,0.0031288156288156177,-91,-1
0.015153617718076107,-0.05109489051094884,0.11913814955640056,0.0477490812576562,-0.008759251959882586,-94,-7
0.0037272328195273596,-0.04458598726114649,0.1274382314694409,0.06165888956515864,-0.003770914909184575,-98,-7
0.004483951395937824,-0.023622047244094446,0.12765957446808518,0.05695423979006067,0.0032472336217167497,-102,-3
0.008645250024560402,-0.006993006993006978,0.1277139208173691,0.06819763395963813,0.0047722856349711185,-100,-1
0.01267817982456132,-0.0390625,0.12155388471177941,0.0648238747553816,-0.0038691303139760658,-97,-5
0.0007486162545294883,-0.030303030303030387,0.1353482260183969,0.0737225672877847,-0.0006677782648416564,-103,-5
